codigo_softland,descripcion,unidad_medida,rubro,prefijo_rubro,subrubro,prefijo_subrubro
1024,AGUARRAS ENV X 18 LTS,LT,TALLER,TAL,FERRETERIA,FER
1025,CABLE ACELERADOR,UN,TALLER,TAL,ELECTRICIDAD,ELE
1026,REPARACION DE LONA,UN,TALLER,TAL,LONAS,LON
1027,RESORTE DEL CABLE BOMBA,UN,TALLER,TAL,ELECTRICIDAD,ELE
1028,TAPA DE DEPOSITO DE AGUA,UN,TALLER,TAL,REPUESTOS,RPU
1029,GUARDAFANGOS/BABERO NEGRO GOMA LISO,UN,TALLER,TAL,GUARDAFANGOS,GFA
1030,GUARDABARRO WOLKSVAGEN,UN,TALLER,TAL,GUARDAFANGOS,GFA
1031,ROLLO DE GOMA DE 12CM ANTI-S PRAY,MT,TALLER,TAL,FERRETERIA,FER
1032,RODAMIENTO DE TENSOR CORREA G301 SKF10,UN,TALLER,TAL,RODAMIENTOS,ROD
1033,ESCOBILLA LIMPIA PARABRISA,UN,TALLER,TAL,VIDRIOS,VID
1034,CORREAS DE ALTERNADOR,UN,TALLER,TAL,TRANSMISION,TRN
1035,ABRAZADERA DE 1/2,UN,TALLER,TAL,BULONERIA,BUL
1036,VARILLA DE 24MM X 6MTS (EX 1040 EN AS400),MT,TALLER,TAL,HIERROS,HIE
1037,VARILLA DE 19 MM X 6MTS,MT,TALLER,TAL,HIERROS,HIE
1038,VARILLA DE 30 MM X 6 MTS,MT,TALLER,TAL,HIERROS,HIE
1039,VARILLA DE 27 MM X 6MTS,MT,TALLER,TAL,HIERROS,HIE
1041,VARILLA DE 20 MM X 6 MTS,MT,TALLER,TAL,HIERROS,HIE
1042,VARILLA DE 8 MM X 6 MTS,MT,TALLER,TAL,HIERROS,HIE
1043,VARILLA DE 10 MM X 6 MTS,MT,TALLER,TAL,HIERROS,HIE
1044,VARILLA DE 12 MM X 6 MTS.,MT,TALLER,TAL,HIERROS,HIE
1045,ABRAZADERA DE 3/8,UN,TALLER,TAL,BULONERIA,BUL
1046,MANGUERA DE RETORNO DE GAS OIL 8 MM,MT,TALLER,TAL,MANGUERAS,MAN
1047,CORREA DE AIRE ACONDICIONADO 1831,UN,TALLER,TAL,TRANSMISION,TRN
1048,CORREA DE BOMBA DE AGUA 1831,UN,TALLER,TAL,TRANSMISION,TRN
1049,ABRAZADERA 9/16,UN,TALLER,TAL,BULONERIA,BUL
1050,ABRAZADERA DE 1',UN,TALLER,TAL,BULONERIA,BUL
1051,ABRAZADERA 7/16,UN,TALLER,TAL,BULONERIA,BUL
1052,ABRAZADERAS DE 3/4,UN,TALLER,TAL,BULONERIA,BUL
1053,THINNER TEDE UNIVERSAL 00,UN,TALLER,TAL,PINTURA,PIN
1054,IMPRESIÓN SERIGRAFICA,UN,TALLER,TAL,FERRETERIA,FER
1055,GUIA DE LONA BISELADA POR 6 MTS,MT,TALLER,TAL,LONAS,LON
1056,CRIQUET TENSOR PARA CINTA LONERA DE 50 MM,UN,TALLER,TAL,TRANSMISION,TRN
1057,PERFIL DE ALUMINO DE 1.5MTS,UN,TALLER,TAL,LONAS,LON
1058,PERFIL DE ALUMINO DE 2.7MTS,UN,TALLER,TAL,LONAS,LON
1059,JUEGO DE LONA COVERTOP DE PVC PARA BATEA,UN,TALLER,TAL,LONAS,LON
1060,ABRAZADERA DE 5/16,UN,TALLER,TAL,BULONERIA,BUL
1061,CHAVETA PARTIDA TIPO 5MM X 100MM,UN,TALLER,TAL,BULONERIA,BUL
1062,BUJE BRONCE ESPANSOR,KG,TALLER,TAL,RODAMIENTOS,ROD
1063,NIPLE DE 3/4 X 10 CM,UN,TALLER,TAL,CONEXIONES,CON
1064,VARILLA ROSCADA 1/2 X MT,MT,TALLER,TAL,BULONERIA,BUL
1065,SAPITAS ASTIVIA 3/4 REFOR,UN,TALLER,TAL,FERRETERIA,FER
1066,BARRA ESTABILIZADORA DE EJE DE BATEA,UN,TALLER,TAL,HIERROS,HIE
1067,VARILLA ROSCADA 5/8 X MT,MT,TALLER,TAL,BULONERIA,BUL
1068,CRIQUET TENSOR,UN,TALLER,TAL,TRANSMISION,TRN
1069,CHAPA EN U,UN,TALLER,TAL,HIERROS,HIE
1070,SUSPENCION NEUMATICA REYCO AR 21/AR74,UN,TALLER,TAL,FERRETERIA,FER
1071,"NIPLES 3/4"" X 20",UN,TALLER,TAL,CONEXIONES,CON
1072,CARRO DE ACERO CON 2 RUEDAS,UN,TALLER,TAL,FERRETERIA,FER
1073,PLACA DE AJUSTE (HERRAJES DE LONA),UN,TALLER,TAL,LONAS,LON
1074,CINTA NEGRA LONERA DE 5O MM DE ANCHO,MT,TALLER,TAL,FERRETERIA,FER
1075,CINTA LONERA CON GANCHO,UN,TALLER,TAL,LONAS,LON
1076,HEBILLA TENSORA DE LONA,UN,TALLER,TAL,LONAS,LON
1077,JUEGO DE LONA PARA BATEA 305,UN,TALLER,TAL,LONAS,LON
1078,COBERTOR DE PISTON TELESCOPICO,UN,TALLER,TAL,LONAS,LON
1079,RUEDAS PARA LONA,UN,TALLER,TAL,LONAS,LON
1080,"GRILON ""POLIAMIDA"" 100X60",MT,TALLER,TAL,FERRETERIA,FER
1081,EJE RIGIDO PARA RODADO DUAL DISCO DE 1820 MM LARGO- 10 BULONES (CARRETON),UN,TALLER,TAL,BULONERIA,BUL
1082,AMARRE AMARILLO 50MMX6MTS C/GANCHO J - 5TN,UN,TALLER,TAL,FERRETERIA,FER
1083,"AMARRE COMPLETO AMARILLO 50MMX2,5MTS+3TACOS C/GANCHO J - 5TN",UN,TALLER,TAL,ZUNCHOS,ZUN
1084,LIMITADOR DE VELOCIDAD 150X42X350,UN,TALLER,TAL,FERRETERIA,FER
1085,"EJE TUBULAR RIGIDO 127mm O 17,5mm REGISTRO AUTOM. CON ABS P/LLANTA DE ACERO 22,5""X7,50",UN,TALLER,TAL,EJES,EJE
1086,ALEMITES,UN,TALLER,TAL,FERRETERIA,FER
1087,ALBAMIX S/RAPIDO VERDE RAL 9018,LT,TALLER,TAL,FERRETERIA,FER
1088,Chaveta partida de 5 mm x 70 mm,UN,TALLER,TAL,BULONERIA,BUL
1089,CHAVETA TIPO R X100,UN,TALLER,TAL,BULONERIA,BUL
1090,Chaveta partida de 5mm x 50mm,UN,TALLER,TAL,BULONERIA,BUL
1091,"Grampas media OMEGA 5/8 con acabado Zinc, marca Fisher",UN,TALLER,TAL,FERRETERIA,FER
1092,TAPA GALVANIZADA 2',UN,TALLER,TAL,REPUESTOS,RPU
1093,NIPLES DE 2X25 GALVANIZAD,UN,TALLER,TAL,CONEXIONES,CON
1095,GRAMPAS OMEGA DE 1/2´´,UN,TALLER,TAL,BULONERIA,BUL
1096,CARTEL ARGENTINO,UN,TALLER,TAL,CALCOS Y CARTELES,CYC
1096,CARTEL ARGENTINO 2 X 1.5 MTS.,UN,TALLER,TAL,CALCOS Y CARTELES,CYC
1097,BISAGRA TIPO LIBRO DE 3 CM X 2 CM,UN,TALLER,TAL,FERRETERIA,FER
1098,ALEMITE DE 1/4 P.F.,UN,TALLER,TAL,FERRETERIA,FER
1099,GRAMPA OMEGA DE 7/8,UN,TALLER,TAL,BULONERIA,BUL
1100,GRAMPAS OMEGA DE 3/8´´ (EX 1094 EN AS400),UN,TALLER,TAL,BULONERIA,BUL
1101,LLAVES DE PASO ESFERE.3/4,UN,TALLER,TAL,HERRAMIENTAS,HER
1102,REMACHES POP 5X16 (AHORA 1107 EN CWA),CJ,TALLER,TAL,BULONERIA,BUL
1103,PINTURA NEGRA AL AGUA PPG PITT-TECH NEGRO AL AGUA 20LTS (AHORA 1106 EN CWA),LT,TALLER,TAL,PINTURA,PIN
1104,VITELAST ACUOSO NEGRO X 4LTS,UN,TALLER,TAL,FERRETERIA,FER
1105,LINGA DE 8MM FORRADA,MT,TALLER,TAL,BULONERIA,BUL
1106,PINTURA NEGRA PPG HPC DIRECTO METAL 20 LTS,LT,TALLER,TAL,PINTURA,PIN
1106,VITELAST TEXTURADO ACUOSO NEGRO X 1 LTO (EX 1103 EN AS400),LT,TALLER,TAL,FERRETERIA,FER
1107,REMACHES POP 5X16 (EX 1004 EN AS400),UN,TALLER,TAL,BULONERIA,BUL
1108,"TUBO CON DOS PUNTAS DE EJE, TUERCAS Y DOS CRUCETAS",UN,TALLER,TAL,BULONERIA,BUL
1109,MANGUERA ESPECIAL P/FILTRO TRABOR X MTS,MT,TALLER,TAL,MANGUERAS,MAN
1110,TAPONES PARA LLENADO DE CAJA FORD CARGO,UN,TALLER,TAL,CONEXIONES,CON
1111,TAPONES PARA VACIADO DE CAJAS DE VELOCIDAD FC,UN,TALLER,TAL,CONEXIONES,CON
1112,TRABAS P/FAROL BATEA,UN,TALLER,TAL,FERRETERIA,FER
1113,"ZUNCHO P/ CAMIONES RACHET 2"" X 9 MTS GANCHO UNIVERSAL (513084)",UN,TALLER,TAL,FERRETERIA,FER
